name,up greedy,seq,up insertion,up oct_schedule,oct greedy,oct insertion,oct oct_schedule,cp,size
/home/hummus/Dropbox/thesis/data/input/graphml/translated_dist_sagecal_sleep_5_copies.graphml,5726,1438,895,978,5613,882,955,661,207,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_lofar_test_4x4.graphml,5015,2400,849,877,5153,961,914,338,348,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_facet_img_8-8-4_copies.graphml,10064,32045,9964,10225,10064,10000,10203,308,4583,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_dev2_6-8-4_copies.graphml,10064,24147,7289,10153,10064,10000,10182,501,3467,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Fq-Ti-Fc-Sb_8-2-8_copies.graphml,10063,7823,2533,6650,10064,3144,6068,510,1095,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_CALIB.graphml,1629,780,309,313,1617,311,309,56,108,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_askap_LoadVis.graphml,12,11,11,11,12,11,11,11,3,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_mwa_gleam_simple_3_copies.graphml,568,192,110,119,581,108,118,21,36,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Fq-Ti-Fc-Sb_6-4-8_copies.graphml,10064,10976,3462,9706,10064,4548,9859,292,1615,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two.graphml,1072,485,240,272,1066,233,241,51,76,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_atca_attila_8_copies.graphml,1294,485,271,288,1243,276,307,178,76,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_atca_minh_10-8_copies.graphml,1487,505,270,297,1470,285,337,101,78,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Fq-Fc-Ti-Sb_1-1-1_copies.graphml,587,194,198,174,455,152,141,120,26,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_test_grpby_gather.graphml,2039,1046,344,337,2059,371,371,40,154,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Ti-Fq-Fc-Sb.graphml,10061,4830,1626,3668,10062,2058,2736,518,711,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_dist_sagecal.graphml,3026,736,644,654,2915,579,574,343,98,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_mwa_gleam_simple_8_copies.graphml,1442,647,274,281,1437,277,254,45,96,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_dev1_8-4_copies.graphml,3812,1600,522,693,3819,568,677,36,244,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_dev1_4-8_copies.graphml,10052,4427,1445,2916,10061,1669,2961,66,634,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_6_copies.graphml,2275,948,394,505,2312,408,462,92,140,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_atca_minh.graphml,753,280,170,201,745,171,197,77,45,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_test_seq_gather.graphml,2103,494,413,386,2028,385,379,131,74,
